alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.7,0.4,68.697,67.091,70.807,71.727,84.099,76.884,82.864,86.939,71.204,80.307,84.37,67.755,78.293,85.184,78.597,81.943,96.077,57.522,27.434,15.044,44159,9731,1803,164,195,93,51,301,66.152,80.449,74.531,87.387,40165,13725,5797,45962,53890,386,"339
"
0.8,0.8,63.764,65.746,62.409,71.827,81.751,75.456,70.742,86.66,66.853,74.645,83.507,62.334,75.855,84.9,76.511,82.186,93.541,57.522,28.614,13.864,44290,9600,3058,354,195,97,47,421,63.444,73.081,68.645,78.13,36993,16897,10355,47348,53890,236,"339
"
0.6,0.7,66.304,66.105,67.045,71.762,82.428,76.949,76.152,86.743,69.279,77.622,83.738,64.999,76.493,84.894,77.055,82.058,94.254,56.047,30.088,13.864,44221,9669,2696,303,190,102,47,372,64.097,76.449,71.503,82.13,38533,15357,8384,46917,53890,270,"339
"
0.3,0.5,68.332,66.32,70.868,71.175,83.711,77.223,82.386,86.996,70.96,79.841,84.272,67.284,76.96,85.3,77.447,81.236,95.543,55.457,29.499,15.044,43778,10112,2042,262,188,100,51,391,65.018,79.876,73.895,86.91,39822,14068,5998,45820,53890,370,"339
"
0.6,0.4,68.661,67.091,70.733,71.853,83.939,76.76,82.732,86.962,71.229,80.164,84.363,67.628,78.07,85.103,78.38,81.991,95.782,56.342,29.204,14.454,44185,9705,1946,167,191,99,49,301,65.856,80.623,74.819,87.403,40320,13570,5811,46131,53890,379,"339
"
0.2,0.1,69.504,67.281,72.257,71.706,84.435,77.202,84.822,86.972,71.923,81.14,84.477,68.545,78.592,85.279,78.831,81.878,96.412,57.227,28.319,14.454,44124,9766,1642,129,194,96,49,267,66.538,81.36,75.227,88.581,40540,13350,5226,45766,53890,402,"339
"
0.0,0.6,63.15,65.073,61.826,71.347,81.422,75,70.073,86.734,66.322,74.011,83.403,61.727,74.147,85.171,75.443,81.535,93.048,56.932,29.794,13.274,43939,9951,3283,698,193,101,45,580,62.057,71.91,67.461,76.987,36355,17535,10867,47222,53890,234,"339
"
0.6,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
0.2,0.0,68.98,67.092,71.38,71.494,84.454,76.652,84.314,86.998,71.377,80.468,84.498,67.993,78.399,85.291,78.649,81.652,96.453,57.227,27.139,15.634,44002,9888,1618,135,194,92,53,277,66.388,80.525,74.346,87.823,40065,13825,5555,45620,53890,398,"339
"
0.0,0.7,61.99,64.767,59.869,71.24,81.045,74.465,67.145,86.683,65.21,72.839,83.289,60.667,73.502,85.053,75.127,81.514,92.734,56.342,30.973,12.684,43928,9962,3442,876,191,105,43,675,61.318,70.067,65.829,74.889,35475,18415,11895,47370,53890,202,"339
"
0.0,0.4,66.854,65.886,68.322,71.01,83.214,74.833,80.689,86.881,69.583,78.331,83.902,65.722,76.446,85.299,77.126,81.23,95.19,55.457,29.794,14.749,43775,10115,2212,366,188,101,50,470,64.505,77.962,72.245,84.661,38933,14957,7054,45987,53890,356,"339
"
0.1,0.8,63.271,65.197,61.936,71.287,81.699,74.673,70.598,86.768,66.356,74.059,83.533,61.863,74.507,85.077,75.498,81.377,93.263,55.752,30.973,13.274,43854,10036,3168,534,189,105,45,594,62.363,71.205,66.667,76.405,35927,17963,11095,47022,53890,238,"339
"
1.0,0.8,63.71,65.664,62.368,71.797,81.645,75.709,70.698,86.621,66.821,74.752,83.431,62.366,75.971,84.879,76.567,82.253,93.535,57.522,29.794,12.684,44326,9564,3064,321,195,101,43,405,63.534,72.771,68.382,77.761,36851,17039,10539,47390,53890,228,"339
"
0.1,0.9,63.379,65.144,62.191,71.347,81.532,75.48,70.235,86.757,66.522,74.191,83.488,61.94,74.415,85.067,75.383,81.446,93.072,54.572,32.153,13.274,43891,9999,3267,522,185,109,45,584,62.252,71.481,67.016,76.583,36115,17775,11043,47158,53890,234,"339
"
0.8,0.4,68.542,67.199,70.383,71.919,84.006,76.612,82.324,86.955,71.083,80.007,84.399,67.525,78.337,85.089,78.612,82.112,95.912,57.817,27.434,14.749,44250,9640,1886,148,196,93,50,283,66.094,80.399,74.615,87.155,40210,13680,5926,46136,53890,370,"339
"
0.3,0.6,66.493,65.792,67.713,71.117,82.917,76.106,78.522,86.897,69.317,77.693,83.914,65.196,75.938,85.211,76.602,81.186,94.656,54.572,32.153,13.274,43751,10139,2470,358,185,109,45,459,63.932,76.763,71.301,83.131,38424,15466,7797,46221,53890,327,"339
"
